t,create,delegate,compete,old_weights_value,current_weights_value,average_capability,average_authorship
0,0.13599938094589387,0.5970883063871525,0.2669123126669537,0.6841255526079892,0.6841255526079892,0.6799999999999999,0.86
1,0.13638821919330207,0.5968455337099263,0.2667662470967717,0.6843915861209304,0.6843902673415371,0.6804145429917117,0.8581754618427597
2,0.13679151520714955,0.5965923537909468,0.26661613100190373,0.6846594467170279,0.6846610323231987,0.6808400208029945,0.8563627689026304
3,0.1372096832318339,0.59632847617954,0.26646184058862615,0.6849292664028204,0.6849381193949593,0.6812768469142185,0.8545623736871383
4,0.13764315421679593,0.596053598793508,0.26630324698969615,0.6852011846315668,0.6852218162243664,0.6817254466141167,0.8527747416013631
5,0.21431806520965488,0.5439812552594415,0.24170067953090366,0.699106529128136,0.7102211298716153,0.962186257475569,0.93100035146734
6,0.21658165359737824,0.5424673950171679,0.24095095138545392,0.7002464524274528,0.7121082188357681,0.9648243028295131,0.9315984671140612
7,0.21894082003255125,0.5408867176377314,0.2401724623297174,0.7014382722219643,0.7141082255096471,0.9675265071943617,0.9322664187475953
8,0.22139984312340333,0.539236227333786,0.23936392954281066,0.7026856743630743,0.716229605887428,0.970295594106987,0.9330071804690789
9,0.22396315284902146,0.5375128225590504,0.23852402459192815,0.7039926303535351,0.7184815262717401,0.9731344090484031,0.9338238595579934
10,0.22663532217418844,0.5357133018888491,0.2376513759369625,0.705363418019204,0.7208739227188621,0.9760459237568334,0.9347197011818273
11,0.22942105490673254,0.5338343725330558,0.23674457256021175,0.7068026429256189,0.7234175642268721,0.9790332403017439,0.9356980928446545
12,0.23232516902842526,0.5318726620201586,0.23580216895141617,0.7083152603299644,0.7261241194869795,0.9820995948117469,0.9367625684576586
13,0.23535257461443448,0.5298247336724521,0.2348226917131135,0.7099065973779844,0.7290062268662492,0.9852483607273567,0.9379168118906929
14,0.23850824533182152,0.5276871065795954,0.2338046480885832,0.7115823751555287,0.7320775670946829,0.9884830514243553,0.9391646598364198
15,0.24179718237740666,0.5254562808689669,0.2327465367536265,0.7133487300827124,0.7353529378826148,0.991807322024753,0.940510103787144
16,0.24522436958414084,0.5231287691631499,0.23164686125270934,0.7152122339921936,0.738848329386435,0.9952249701798432,0.9419572908889757
17,0.2487947182998904,0.5207011352026163,0.23050414649749337,0.7171799120591144,0.7425809990622133,0.9987399355736309,0.9435105233984017
18,0.2525130005332861,0.5181700406882201,0.22931695877849362,0.7192592575467481,0.7465695439885948,1.0023562978551153,0.945174256422876
19,0.25638376878188357,0.5155323014537384,0.22808392976437802,0.7214582420979441,0.7508339681944236,1.0060782726650062,0.9469530935801862
20,0.26041126092686284,0.5127849541004275,0.22680378497270973,0.7237853200390563,0.7553957418876883,1.0099102053772846,0.9488517801620131
21,0.26459928861993576,0.5099253341965383,0.22547537718352606,0.7262494248740929,0.7602778487501987,1.013856562129954,0.9508751933368059
22,0.26895110773224656,0.5069511670437619,0.22409772522399168,0.7288599558403464,0.7655048166440948,1.0179219176744698,0.9530283288780845
23,0.2734692697185607,0.5038606718139669,0.2226700584674724,0.7316267520864728,0.771102726190245,1.0221109395325572,0.9553162838597579
24,0.2781554532157294,0.5006526795333405,0.2211918672509302,0.734560051740976,0.7770991907587804,1.0264283679164512,0.9577442347243497
25,0.2830102758897136,0.49732676490394045,0.21966295920634607,0.7376704328936512,0.7835233005130109,1.0308789908491778,0.9603174101088262
26,0.28803308751930573,0.4938833912704226,0.21808352121027175,0.7409687333560363,0.7904055223503574,1.035467613921901,0.9630410578131594
27,0.29322174660224054,0.4903240671306795,0.21645418626707996,0.7444659460526515,0.7977775469991073,1.0401990241535315,0.9659204053275259
28,0.2985723844238855,0.48665151143004237,0.2147761041460723,0.7481730870881785,0.8056720743033683,1.0450779474829341,0.9689606134051885
29,0.3040791625500111,0.4828698234626354,0.21305101398735354,0.7521010340123339,0.8141225280400711,1.050108999536381,0.9721667222907728
30,0.30973403206511985,0.4789846515501511,0.21128131638472908,0.7562603326448096,0.8231626926689002,1.055296629482818,0.975543590399225
31,0.3155265054930022,0.47500335283619494,0.20947014167080294,0.7606609721046009,0.8328262664398522,1.0606450570266954,0.9790958254997892
32,0.3214434550499852,0.4709351346331583,0.2076214103168565,0.7653121294714439,0.8431463284829377,1.0661582028998395,0.9828277087997976
33,0.32746895344893595,0.4667911659598015,0.20573988059126258,0.7702218878163616,0.8541547220384675,1.0718396136029233,0.9867431127480072
34,0.33358417555373043,0.46258464644939573,0.20383117799687384,0.7753969341394055,0.8658813619094576,1.0776923816093475,0.9908454138820824
35,0.3397673803531045,0.4583308189891692,0.2019018006577264,0.7808422469289177,0.8783534814203411,1.083719062765944,0.9951374026144933
36,0.3459939924970016,0.4540469126099897,0.19995909489300875,0.7865607863879803,0.8915948423121656,1.0899215931798256,0.9996211924571656
37,0.35223680053802636,0.4497520036167662,0.19801119584520752,0.792553203526601,0.9056249394830549,1.096301208429201,1.0042981317842532
38,0.35846628465696373,0.4454667860070792,0.19606692933595718,0.7988175868544727,0.9204582403954846,1.1028583684245676,1.0091687217660572
39,0.36465107983849765,0.44121324699839576,0.19413567316310668,0.8053492668223645,0.9361035051757148,1.1095926916109564,1.0142325445049194
