launch_per_kg,earth_npv,local_npv,saving_local,preferred
100,39242919.11303369,87710443.86162616,-48467524.74859247,earth
500,76624808.49047546,115171855.92770986,-38547047.4372344,earth
1000,123352170.2122777,149498621.01031446,-26146450.79803677,earth
2500,263534255.37768432,252478916.25812837,11055339.11955595,local
5000,497171063.9866954,424112741.67115164,73058322.31554377,local
10000,964444681.2047174,767380392.497198,197064288.7075194,local
20000,1898991915.6407616,1453915694.149291,445076221.4914706,local
