t,create,delegate,compete,old_weights_value,current_weights_value,average_capability,average_authorship
0,0.13599938094589387,0.5970883063871525,0.2669123126669537,0.6841255526079892,0.6841255526079892,0.6799999999999999,0.86
1,0.13638821919330207,0.5968455337099263,0.2667662470967717,0.6843915861209304,0.6843902673415371,0.6804145429917117,0.8581754618427597
2,0.13679151520714955,0.5965923537909468,0.26661613100190373,0.6846594467170279,0.6846610323231987,0.6808400208029945,0.8563627689026304
3,0.1372096832318339,0.59632847617954,0.26646184058862615,0.6849292664028204,0.6849381193949593,0.6812768469142185,0.8545623736871383
4,0.13764315421679593,0.596053598793508,0.26630324698969615,0.6852011846315668,0.6852218162243664,0.6817254466141167,0.8527747416013631
5,0.21971205283810158,0.5406649062128556,0.23962304094904302,0.6841799156993456,0.7101585815197534,0.882186257475569,1.0510003514673398
6,0.2221172440385728,0.5390631838222442,0.2388195721391831,0.6851639448147272,0.7121333278307944,0.8849757342654573,1.0517623348589298
7,0.22462321786023529,0.5373912924541986,0.23798548968556624,0.6861964423623527,0.7142295106567194,0.8878333494473104,1.0525984631014496
8,0.2272344889889513,0.5356460767265308,0.23711943428451795,0.6872810672412789,0.7164563508046253,0.8907619734315453,1.0535118697389811
9,0.22995572126348368,0.5338242772212172,0.23622000151529912,0.6884217767214463,0.7188238480860533,0.8937646052726363,1.0545058287923479
10,0.2327917157964074,0.5319225388212644,0.23528574538232822,0.6896228491375005,0.7213428458738729,0.8968443769181174,1.0555837593982493
11,0.23574739452086327,0.5299374222524948,0.2343151832266419,0.6908889074907536,0.7240250993885307,0.9000045571189212,1.0567492300784733
12,0.23882777825695511,0.52786541946513,0.23330680227791492,0.6922249437342489,0.7268833473922428,0.9032485548706803,1.0580059624967857
13,0.2420379582619195,0.5257029735808946,0.23225906815718583,0.6936363434236206,0.7299313867715815,0.9065799222297786,1.0593578345328896
14,0.2453830600920608,0.5234465042267389,0.23117043568120033,0.695128910302163,0.7331841492373977,0.9100023563184221,1.0608088824706048
15,0.24886819846647373,0.5210924391729364,0.23003936236059,0.696708890248743,0.7366577790564963,0.91351970029959,1.0623633020609222
16,0.2524984216898293,0.5186372532863144,0.22886432502385645,0.6983829938485622,0.7403697103417902,0.9171359430653871,1.064025448179821
17,0.25627864407419537,0.5160775158915551,0.22764384003424956,0.7001584166462602,0.7443387419569258,0.9208552173412013,1.0657998327558116
18,0.26021356471221624,0.5134099476949111,0.22637648759287268,0.7020428559063692,0.7485851075289012,0.9246817958635984,1.0676911205936153
19,0.26430757091510015,0.510631488451914,0.22506094063298596,0.7040445224371121,0.7531305374020775,0.9286200852429293,1.0697041226690902
20,0.2685646246636804,0.5077393765362693,0.2236959988000503,0.7061721457320334,0.7579983086081719,0.9326746170735472,1.0718437864180135
21,0.2729881305607526,0.5047312414690952,0.2222806279701523,0.7084349703557228,0.7632132780760379,0.9368500358074578,1.0741151824899131
22,0.27758078405630804,0.5016052102691115,0.2208140056745804,0.7108427411561612,0.7688018933806131,0.9411510828641313,1.0765234873910772
23,0.28234439918910137,0.49836002815385333,0.21929557265704547,0.7134056745453298,0.7747921743667909,0.9455825764141934,1.0790739614026303
24,0.2872797157982258,0.49499519362440964,0.21772509057736467,0.7161344127794077,0.7812136580371896,0.9501493862531517,1.0817719211360117
25,0.2923861871590274,0.4915111072651747,0.21610270557579792,0.7190399579291402,0.7880972982461811,0.9548564031799853,1.0846227060867537
26,0.29766175033714143,0.48790923265171415,0.21442901701114453,0.722133582111797,0.7954753111119878,0.9597085023226353,1.0876316385771592
27,0.3031025832690226,0.48419226655867637,0.21270515017230104,0.7254267106242942,0.8033809567963949,0.9647104999178051,1.0908039765498851
28,0.3087028546792361,0.48036431418716247,0.2109328311336016,0.7289307749508032,0.8118482485961899,0.9698671031667374,1.0941448587992222
29,0.3144544754064665,0.47643106340638774,0.20911446118714577,0.7326570333045516,0.8209115813608037,0.9751828529627825,1.0976592424170655
30,0.3203468624460688,0.4723999500878223,0.2072531874661089,0.7366163574903378,0.8306052733312712,0.9806620595309122,1.1013518324974212
31,0.3263667298640599,0.46828030461542614,0.20535296552051402,0.7408189865172458,0.8409630188093193,0.9863087313416249,1.1052270044953043
32,0.33249792343921913,0.4640834677628358,0.20341860879794504,0.7452742495952225,0.8520172537821823,0.9921264980651492,1.109288720076521
33,0.33872131808864064,0.4598228625880408,0.2014558193233186,0.7499902639054825,0.8637984428103509,0.9981185288123156,1.1135404378195766
34,0.3450147983770169,0.4555140081239324,0.19947119349905085,0.7549736157534715,0.876334303019605,1.0042874474515913,1.1179850207241473
35,0.3513533421899787,0.45117446079720736,0.19747219701281396,0.7602290371997702,0.8896489895724647,1.010635247370397,1.1226246431124884
36,0.3577092254580315,0.44682367104500836,0.19546710349696017,0.7657590937038411,0.90376227588265,1.0171632086211604,1.1274607001352621
37,0.3640523612378618,0.4424827458071202,0.19346489295501812,0.7715639012753734,0.918688770127596,1.0238718209023863,1.1324937236500692
38,0.3703507792957048,0.43817411258907274,0.19147510811522245,0.777640893588244,0.9344372160963164,1.030760716204297,1.1377233086552034
39,0.3765712427367866,0.4339210875174246,0.18950766974578886,0.7839846599291728,0.9510099297358227,1.0378286151237444,1.1431480546524415
