launch_per_kg,earth_npv,local_npv,saving_local,preferred
100,39242919.11303369,90341566.60443139,-51098647.4913977,earth
500,76624808.49047546,120729266.220484,-44104457.73000854,earth
1000,123352170.2122777,158713890.7405498,-35361720.52827211,earth
2500,263534255.37768432,272667764.30074704,-9133508.923062712,earth
5000,497171063.9866954,462590886.9010756,34580177.08561981,local
10000,964444681.2047174,842437132.1017332,122007549.10298419,local
20000,1898991915.6407616,1602129622.503048,296862293.1377137,local
