year,demand_kw,served_kw,curtailed_kw,earth_add_kw,local_fabricated_kw,local_commissioned_kw,earth_capacity_kw,local_capacity_kw,factory_load_kw,overhead_kw,cash_cost,discounted_cost
0,10000.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,140150000.0,140150000.0
1,10500.0,10500.0,0.0,800.0,0.0,0.0,10500.0,0.0,0.0,0.0,11357500.0,10516203.703703703
2,11025.0,11025.0,0.0,840.0,0.0,0.0,11025.0,0.0,0.0,0.0,11925375.0,10224086.934156377
3,11576.250000000002,11576.250000000002,0.0,882.0000000000018,0.0,0.0,11576.250000000002,0.0,0.0,0.0,12521643.750000026,9940084.51931872
4,12155.062500000002,12155.062500000002,0.0,926.1000000000004,0.0,0.0,12155.062500000002,0.0,0.0,0.0,13147725.937500006,9663971.06044874
5,12762.815625000003,12762.815625000003,0.0,972.4050000000007,0.0,0.0,12762.815625000003,0.0,0.0,0.0,13805112.23437501,9395527.41988072
6,13400.956406250005,13400.956406250005,0.0,1021.0252500000024,0.0,0.0,13400.956406250005,0.0,0.0,0.0,14495367.846093783,9134540.54710627
7,14071.004226562505,14071.004226562505,0.0,1072.0765125000016,0.0,0.0,14071.004226562505,0.0,0.0,0.0,15220136.23839846,8880803.309686644
8,14774.55443789063,14774.55443789063,0.0,1125.680338125001,0.0,0.0,14774.55443789063,0.0,0.0,0.0,15981143.050318375,8634114.32886201
9,15513.282159785162,15513.282159785162,0.0,1181.9643550312503,0.0,0.0,15513.282159785162,0.0,0.0,0.0,16780200.202834282,8394277.819726948
10,16288.94626777442,16288.94626777442,0.0,1241.0625727828137,0.0,0.0,16288.94626777442,0.0,0.0,0.0,17619210.21297601,8161103.435845648
11,17103.39358116314,17103.39358116314,0.0,1303.1157014219552,0.0,0.0,17103.39358116314,0.0,0.0,0.0,18500170.72362482,7934406.118183275
12,17958.5632602213,17958.5632602213,0.0,1368.271486493053,0.0,0.0,17958.5632602213,0.0,0.0,0.0,19425179.259806063,7714005.948233739
13,18856.491423232368,18856.491423232368,0.0,1436.6850608177083,0.0,0.0,18856.491423232368,0.0,0.0,0.0,20396438.222796403,7499728.005227258
14,19799.315994393986,19799.315994393986,0.0,1508.5193138585892,0.0,0.0,19799.315994393986,0.0,0.0,0.0,21416260.13393616,7291402.227304257
